data_date,security_id,d2
20100507,7553001,-14.807
20100507,7561501,-18.419
20100507,7586201,-176.072
20100507,7640201,7.012
20100507,7664201,120.511
20100507,7676601,-13.788
20100507,7679101,15.526
20100507,7724501,4.237
20100507,7734201,5.6505
20100507,7735601,6.5572
20100507,7742201,27.837
20100507,7744301,-3.7595
20100507,7746301,27.638
20100507,7805001,3.2603
20100507,7829201,44.693
20100507,7842201,18.807
20100507,7869901,-8.519
20100507,7877101,30.7
20100507,7885901,-0.3399
20100507,7958001,-17.8
20100507,7958101,-9.098
20100507,7986201,-24.144
20100507,8082301,68
20100507,8111801,NA
20100507,8112401,128.445
20100507,8150301,12.5549
20100507,8161601,17.859
20100507,8178201,-199.613
20100507,8213201,2.696
20100507,8229301,NA
20100507,8258001,100.284
20100507,8273601,-0.299
20100507,8278901,-70.458
20100507,8293501,2.411
20100507,8407001,NA
20100507,8472101,1258.45
20100507,8667101,NA
20100507,8668601,NA
20100507,8866901,-222.909
20100507,9554401,-52.2218
20100507,9945501,-3.672
20100507,10154401,47.718
20100507,10208801,-47.161
20100507,10210001,8.039
20100507,11359701,-4.902
20100507,15086101,-44.5225
20100507,16247301,-68.18
20100507,19287901,12.25
20100507,19470001,-5.653
20100507,19837801,-1.6822
20100507,20675601,-8.277
20100507,22137401,18.484
20100507,24344801,-19.5031
20100507,26533501,-46.4002
20100507,26921201,116.7
20100507,27016901,-10.749
20100507,27415201,9.636
20100507,28205901,-20.814
20100507,29184701,-2.96
20100507,29324101,-39.649
20100507,29324401,47.947
20100507,29508001,-49.595
20100507,29900601,132.601
20100507,29970101,-11.64
20100507,30001601,153.809
20100507,30695201,208.494
20100507,31355701,75.2
20100507,31386801,591.215
20100507,31751101,52.8278
20100507,31797001,221.497
20100507,32141701,402
20100507,32317801,7.9492
20100507,33119001,20.085
20100507,33119101,-29.926
20100507,33138401,-29.5622
20100507,33148601,-167.92
20100507,33159401,31.963
20100507,33163401,-89.997
20100507,33173801,230.111
